area_type,availability,location,size,total_sqft,bath,balcony,price(in Lakhs),price
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,1520,2,3,62,6200000
Built-up  Area,Ready To Move,Doctors Layout,2 BHK,1000,2,2,42,4200000
Plot  Area,Ready To Move,Dodda Banaswadi,4 BHK,1018,4,1,150,15000000
Built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,1300,2,2,60,6000000
Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,1650,3,2,78,7800000
Super built-up  Area,Ready To Move,Dodda Banaswadi,2 BHK,1120,2,3,36,3600000
Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,1500,3,2,56,5600000
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,1015,2,1,45,4500000
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,1600,3,2,75,7500000
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1145,2,1,46.5,4650000
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1370,2,2,60,6000000
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1005,2,2,45,4500000
Plot  Area,Ready To Move,Dodda Nekkundi,4 BHK,3400,4,3,530,53000000
Plot  Area,Ready To Move,Dodda Nekkundi,3 BHK,2400,4,2,300,30000000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,850,2,3,28,2800000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1390,2,2,60,6000000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1804,3,2,121,12100000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1080,2,2,50,5000000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1999,3,2,132,13200000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2,2,48,4800000
Built-up  Area,Ready To Move,Dodda Nekkundi,4 BHK,3800,4,2,600,60000000
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260,2,2,55,5500000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1128,2,2,45,4500000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1315,2,2,50,5000000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1148,2,1,56,5600000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1435,3,3,57.2,5720000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1999,3,2,135,13500000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1829,3,2,125,12500000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2,1,41.16,4116000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2,1,46.75,4675000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1155,2,1,46,4600000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2,1,41.15,4115000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2,1,41.18,4118000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1200,2,2,71,7100000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1585,2,2,79,7900000
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1252,2,1,71,7100000
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1135,2,2,58,5800000
Built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,1864,3,2,120,12000000
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2,2,60,6000000
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1188,2,3,73,7300000
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,1864,3,3,115,11500000
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,1458,2,2,87,8700000
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,1975,3,3,90,9000000
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2,2,69,6900000
Super built-up  Area,18-Apr,Doddaballapur,1 BHK,654,1,1,49,4900000
Super built-up  Area,Ready To Move,Doddaballapur,4 BHK,1690,3,2,80,8000000
Plot  Area,Ready To Move,Doddaballapur,3 BHK,2440,3,1,142,14200000
Plot  Area,Ready To Move,Doddaballapur,4 BHK,2400,3,0,200,20000000
Plot  Area,Ready To Move,Doddaballapur,2 BHK,640,1,0,10.5,1050000
Plot  Area,Ready To Move,Doddaballapur,3 BHK,3876,3,1,300,30000000
Plot  Area,Ready To Move,Doddaballapur,4 BHK,4200,4,3,325,32500000
Plot  Area,Ready To Move,Doddaballapur,3 BHK,3000,2,2,120,12000000
Plot  Area,Ready To Move,Doddaballapur,3 BHK,2400,3,1,250,25000000
Plot  Area,Ready To Move,Doddaballapur,3 BHK,2776,4,2,195,19500000
Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,830,2,2,37,3700000
Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,800,2,2,30,3000000
Super built-up  Area,Ready To Move,Doddabanahalli,2 BHK,830,2,2,26,2600000
Super built-up  Area,Ready To Move,Doddabanahalli,3 BHK,1500,3,2,85,8500000
Super built-up  Area,18-May,Doddabanahalli,3 BHK,1290,3,2,45.33,4533000
Super built-up  Area,Ready To Move,Doddabele,2 BHK,750,2,1,36,3600000
Plot  Area,Ready To Move,Doddabidrakallu,3 BHK,1200,3,1,74,7400000
Built-up  Area,Ready To Move,Doddabidrakallu,2 BHK,900,2,1,33,3300000
Super built-up  Area,Ready To Move,Doddabommasandra,3 BHK,1550,2,3,70,7000000
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,1300,2,3,32,3200000
Plot  Area,Ready To Move,Doddabommasandra,3 BHK,646,2,1,65,6500000
Built-up  Area,Ready To Move,Doddabommasandra,2 BHK,1600,2,1,90,9000000
Plot  Area,Ready To Move,Doddagubbi,3 BHK,1125,4,1,70,7000000
Super built-up  Area,Ready To Move,Doddagubbi,1 BHK,747,1,2,27,2700000
Plot  Area,18-May,Doddagubbi,4 BHK,1200,4,1,85,8500000
Super built-up  Area,Ready To Move,Doddagubbi,2 BHK,1250,2,3,39,3900000
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1460,2,2,58.39,5839000
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1425,2,2,56.99,5699000
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2,1,40.39,4039000
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1270,2,2,42,4200000
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1233,2,2,43,4300000
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2,1,40.39,4039000
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1072,2,1,42.87,4287000
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2,1,40.4,4040000
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2,1,41,4100000
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1072,2,1,42.87,4287000
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1360,2,2,54.4,5440000
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1360,2,2,54.39,5439000
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,1550,2,1,60,6000000
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,1542,3,2,98,9800000
Built-up  Area,Ready To Move,Doddakammanahalli,2 BHK,1160,2,3,55,5500000
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,1409,2,3,62,6200000
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,1119,2,1,48.5,4850000
Super built-up  Area,Ready To Move,Doddakammanahalli,2 BHK,1180,2,2,56,5600000
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,1187,2,2,45,4500000
Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,1475,3,2,70,7000000
Built-up  Area,Ready To Move,Doddakannelli,3 BHK,1477,2,2,80,8000000
Built-up  Area,Ready To Move,Doddakannelli,2 BHK,1025,2,1,48,4800000
Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1768,3,3,95,9500000
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,1512,1,2,65.01,6501000
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,1092,2,1,49,4900000
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,1194,2,1,51,5100000
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1419,3,2,85,8500000
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1410,3,3,90,9000000
Plot  Area,Ready To Move,Doddanekundi,4 BHK,3250,5,1,850,85000000
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,1760,3,3,176,17600000
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,1280,2,2,40,4000000
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,2045,4,3,154,15400000
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,1128,2,2,48.4,4840000
Built-up  Area,Ready To Move,Doddanekundi,2 BHK,1148,2,1,59,5900000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2,0,33,3300000
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1549,3,2,65,6500000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1030,2,2,42,4200000
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,1200,2,2,75,7500000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,850,2,1,25,2500000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,1,62,6200000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1015,2,2,33.5,3350000
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,907,2,1,40,4000000
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1107,2,3,44,4400000
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,2,50,5000000
Built-up  Area,Ready To Move,Doddathoguru,3 BHK,1208,3,1,45,4500000
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,925,2,2,30,3000000
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1140,2,3,32,3200000
Built-up  Area,Ready To Move,Doddathoguru,3 BHK,1875,3,1,55,5500000
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050,2,1,32,3200000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1104,2,2,39,3900000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,915,2,1,32,3200000
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,750,1,1,25.5,2550000
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1595,3,3,62,6200000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,855,2,1,32,3200000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1105,2,1,50,5000000
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1300,2,1,42,4200000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1140,2,2,26.49,2649000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,940,2,1,32.9,3290000
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1382,3,1,65,6500000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,964,2,1,62,6200000
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1783,3,3,85,8500000
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,550,1,1,17,1700000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,984,2,1,51,5100000
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,550,1,1,17,1700000
Plot  Area,Ready To Move,Dodsworth Layout,3 BHK,4446,3,2,410,41000000
Plot  Area,Ready To Move,Dodsworth Layout,3 BHK,5656,5,0,499,49900000
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,1400,2,3,85,8500000
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,1717,3,3,99,9900000
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,1340,2,1,71,7100000
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,1400,2,2,80,8000000
Super built-up  Area,19-Dec,Dodsworth Layout,3 BHK,1594,3,2,99,9900000
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,1893,3,2,115,11500000
Built-up  Area,Ready To Move,Dollar Scheme Colony,4 BHK,3463,6,0,310,31000000
Super built-up  Area,Ready To Move,Dollar Scheme Colony,4 BHK,3563,6,1,310,31000000
Built-up  Area,Ready To Move,Dollars Colony,4 BHK,2100,3,2,280,28000000
Plot  Area,Ready To Move,Dollars Colony,3 BHK,7800,3,2,2000,200000000
Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,3500,4,3,350,35000000
Super built-up  Area,Ready To Move,Dollars Colony,2 BHK,1097,2,3,65,6500000
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,1350,3,0,75,7500000
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,2000,3,3,200,20000000
Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,3100,5,1,385,38500000
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,2456,3,3,220,22000000
Plot  Area,Ready To Move,Dollars Layout,4 BHK,4200,4,1,760,76000000
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,1460,3,2,88,8800000
Super built-up  Area,18-May,Dominic Layout,3 BHK,1115,3,1,39.14,3914000
Super built-up  Area,Ready To Move,Domlur,2 BHK,1246,2,1,95,9500000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1740,3,0,120,12000000
Built-up  Area,18-Mar,Domlur,3 BHK,2180,3,2,285,28500000
Super built-up  Area,Ready To Move,Domlur,3 BHK,2180,3,2,285,28500000
Super built-up  Area,Ready To Move,Domlur,1 BHK,780,1,1,70,7000000
Super built-up  Area,Ready To Move,Domlur,1 BHK,650,1,1,70,7000000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1950,3,3,165,16500000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1720,3,1,135,13500000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1800,3,2,150,15000000
Super built-up  Area,Ready To Move,Domlur,2 BHK,1050,2,2,85,8500000
Super built-up  Area,20-Dec,Domlur,2 BHK,1206,2,1,217,21700000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1429,3,3,86,8600000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1875,2,2,150,15000000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3,2,90,9000000
Built-up  Area,Ready To Move,Domlur,3 BHK,1695,3,2,125,12500000
Built-up  Area,Ready To Move,Domlur,3 BHK,1650,3,1,180,18000000
Super built-up  Area,Ready To Move,Domlur,2 BHK,1276,2,2,80,8000000
Super built-up  Area,Ready To Move,Domlur,3 BHK,1850,3,1,180,18000000
Super built-up  Area,Ready To Move,Domlur,3 BHK,2100,3,2,145,14500000
Built-up  Area,Ready To Move,Domlur,1 BHK,640,1,0,55,5500000
Plot  Area,Ready To Move,Domlur Layout,2 BHK,900,2,2,160,16000000
Super built-up  Area,19-Dec,Domlur Layout,3 BHK,2000,3,2,200,20000000
Plot  Area,Ready To Move,Domlur Layout,4 BHK,2400,4,2,595,59500000
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1200,2,2,50,5000000
Super built-up  Area,19-Aug,Dommasandra,3 BHK,1033,2,2,25.53,2553000
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1153,2,2,43.5,4350000
Plot  Area,Ready To Move,Dommasandra,3 BHK,900,3,1,75,7500000
Plot  Area,18-Mar,Dommasandra,2 BHK,1500,2,0,40,4000000
Built-up  Area,Ready To Move,Dommasandra,4 BHK,2700,3,2,68,6800000
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1090,2,2,43.5,4350000
Built-up  Area,Ready To Move,Dommasandra,3 BHK,1267,3,2,56,5600000
Super built-up  Area,18-Dec,Dommasandra,2 BHK,674,1,1,19.9,1990000
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,999,2,2,32.9,3290000
Super built-up  Area,19-Dec,Dommasandra,3 BHK,1033,2,2,31.5,3150000
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2,1,22.14,2214000
Super built-up  Area,18-Dec,Dommasandra,2 BHK,850,2,1,25.4,2540000
Super built-up  Area,18-Aug,Doopanahalli,3 BHK,1340,2,1,100,10000000
Carpet  Area,Ready To Move,Doopanahalli,3 BHK,1625,3,1,150,15000000
Built-up  Area,Ready To Move,Doopanahalli,3 BHK,2250,3,2,199,19900000
Built-up  Area,Ready To Move,Doopanahalli,2 BHK,1050,2,1,70,7000000
Built-up  Area,Ready To Move,Doopanahalli,3 BHK,1475,2,1,200,20000000
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1570,3,1,115,11500000
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1596,3,1,105,10500000
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1578,3,1,180,18000000
Built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1596,3,0,95,9500000
Plot  Area,Ready To Move,Double Road,3 BHK,500,3,2,100,10000000
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2 BHK,1200,2,1,54,5400000
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2,1,65,6500000
Super built-up  Area,Ready To Move,Duddanahalli,3 BHK,1340,2,2,47,4700000
Super built-up  Area,Ready To Move,Duvasapalya,2 BHK,1190,2,1,48.6,4860000
Super built-up  Area,18-May,Dwaraka Nagar,3 BHK,1300,2,1,51,5100000
Plot  Area,Ready To Move,Dwarka Nagar,3 BHK,1200,3,3,95.75,9575000
Built-up  Area,20-Dec,"ECC Road, Whitefield,",3 BHK,1575,3,2,93,9300000
Built-up  Area,20-Dec,"ECC Road, Whitefield,",2 BHK,1132,2,1,67,6700000
Super built-up  Area,Ready To Move,"EPIP AREA, WHITEFIELD",3 BHK,1801,3,2,139,13900000
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2330,3,2,162,16200000
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,1280,2,1,69,6900000
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,1125,2,1,65,6500000
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,1709,3,1,80,8000000
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,2500,3,1,268,26800000
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,1810,2,2,65,6500000
Super built-up  Area,18-Apr,EPIP Zone,4 BHK,3360,5,2,221,22100000
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2,2,82,8200000
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2710,3,2,177,17700000
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,3800,5,2,170,17000000
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2210,3,3,165,16500000
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,1860,3,2,130,13000000
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2350,4,2,163,16300000
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1343,2,2,86,8600000
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,3360,5,0,225,22500000
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1734,3,3,125,12500000
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1500,3,3,102,10200000
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2160,4,2,172,17200000
Super built-up  Area,18-Feb,EPIP Zone,2 BHK,1330,2,1,93.36,9336000
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330,2,1,86.98,8698000
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330,2,1,92.5,9250000
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5,2,102,10200000
Super built-up  Area,Ready To Move,Ejipura,3 BHK,1600,3,3,95,9500000
Super built-up  Area,Ready To Move,Ejipura,3 BHK,2070,3,3,135,13500000
Super built-up  Area,Ready To Move,Ejipura,2 BHK,1190,2,1,70,7000000
Plot  Area,Ready To Move,Ejipura,2 BHK,922,2,1,70,7000000
Built-up  Area,Ready To Move,Ejipura,2 BHK,1200,2,1,60,6000000
Built-up  Area,Ready To Move,Ejipura,2 BHK,1210,2,0,75,7500000
Built-up  Area,Ready To Move,Ejipura,3 BHK,1650,3,0,110,11000000
Super built-up  Area,18-Mar,Electronic City,3 BHK,1500,2,1,77.5,7750000
Super built-up  Area,Ready To Move,Electronic City,1 BHK,435,1,1,21,2100000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1,53.9,5390000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1631,3,2,80,8000000
Super built-up  Area,20-Dec,Electronic City,4 BHK,2093,4,1,104,10400000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1110,2,1,39.95,3995000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1017,2,2,27,2700000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1296,2,2,65,6500000
Super built-up  Area,21-Dec,Electronic City,2 BHK,1140,2,1,70.93,7093000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,919,2,2,34,3400000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1210,2,2,25,2500000
Super built-up  Area,17-Jun,Electronic City,2 BHK,1070,2,1,47,4700000
Super built-up  Area,18-Apr,Electronic City,3 BHK,1500,2,1,78,7800000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1073,2,2,60,6000000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1096,2,2,40.55,4055000
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2,1,67,6700000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,2,1,19,1900000
Super built-up  Area,18-Mar,Electronic City,2 BHK,1175,2,1,47,4700000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,15.5,1550000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1652,3,3,110,11000000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,3,2,66,6600000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1470,2,1,44.1,4410000
Super built-up  Area,17-Oct,Electronic City,3 BHK,1571,3,2,83,8300000
Super built-up  Area,18-Jul,Electronic City,2 BHK,1025,1,1,26.63,2663000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,53,5300000
Super built-up  Area,19-Dec,Electronic City,1 BHK,530,1,1,13.5,1350000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1159,2,3,38,3800000
Super built-up  Area,18-Mar,Electronic City,1 BHK,605,1,0,13.31,1331000
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2,1,64,6400000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,919,2,2,35,3500000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1,39.9,3990000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1039,2,1,50,5000000
Super built-up  Area,Ready To Move,Electronic City,1 BHK,435,1,1,22,2200000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1200,2,0,34,3400000
Super built-up  Area,18-Mar,Electronic City,1 BHK,630,1,1,47,4700000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,78,7800000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,52,5200000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1575,3,2,90,9000000
Super built-up  Area,20-Dec,Electronic City,2 BHK,1213,2,1,59.32,5932000
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2,1,65.58,6558000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1000,2,2,41,4100000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,15,1500000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,18,1800000
Super built-up  Area,18-Dec,Electronic City,3 BHK,1310,2,1,37.83,3783000
Super built-up  Area,18-Jul,Electronic City,2 BHK,1025,2,1,54.1,5410000
Super built-up  Area,18-Feb,Electronic City,2 BHK,1070,2,1,55,5500000
Super built-up  Area,18-Dec,Electronic City,3 BHK,1225,3,0,45.03,4503000
Super built-up  Area,18-Mar,Electronic City,2 BHK,1152,2,1,65.75,6575000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1200,2,1,59,5900000
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2,1,65.5,6550000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,60,6000000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2,1,58,5800000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1125,2,1,58,5800000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1575,3,3,101,10100000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,16,1600000
Super built-up  Area,19-Aug,Electronic City,3 BHK,1033,2,2,28.41,2841000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1210,2,1,54,5400000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,58,5800000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1449,3,2,90,9000000
Super built-up  Area,18-Apr,Electronic City,2 BHK,1000,2,1,29.7,2970000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1,49,4900000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1410,2,2,38,3800000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1170,2,1,33,3300000
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2,1,65.7,6570000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1108,2,1,67.15,6715000
Super built-up  Area,18-May,Electronic City,2 BHK,1020,2,2,29.46,2946000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1156,2,2,42,4200000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1363,2,1,79,7900000
Super built-up  Area,18-Apr,Electronic City,3 BHK,1500,2,1,78.25,7825000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,919,2,2,40,4000000
Super built-up  Area,20-Dec,Electronic City,4 BHK,2435,4,3,119,11900000
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2,1,97.6,9760000
Super built-up  Area,18-Jan,Electronic City,1 BHK,630,1,1,46,4600000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1096,2,2,39,3900000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,550,1,1,16,1600000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2,1,38.08,3808000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1190,2,1,42,4200000
Super built-up  Area,Ready To Move,Electronic City,1 BHK,750,1,1,35,3500000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1521,2,2,57.5,5750000
Super built-up  Area,18-Jul,Electronic City,2 BHK,1128,2,1,67,6700000
Super built-up  Area,18-Jul,Electronic City,3 BHK,1615,3,2,97,9700000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1353,2,3,75,7500000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1518,3,3,75,7500000
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1275,3,3,63.43,6343000
Super built-up  Area,18-Apr,Electronic City,2 BHK,1000,2,1,29.95,2995000
Super built-up  Area,21-Dec,Electronic City,1 BHK,710,1,1,40.42,4042000
